time,best_cost
0.001042,248.0000000000
0.001043,248.0000000000
0.001044,248.0000000000
0.001045,248.0000000000
0.001047,248.0000000000
0.001048,248.0000000000
0.001049,248.0000000000
0.001050,248.0000000000
0.001051,248.0000000000
0.001052,248.0000000000
0.001054,248.0000000000
0.001055,248.0000000000
0.001056,248.0000000000
0.001057,248.0000000000
0.001058,248.0000000000
0.001059,248.0000000000
0.001060,248.0000000000
0.001062,248.0000000000
0.001063,248.0000000000
0.001064,248.0000000000
0.001065,248.0000000000
0.001066,248.0000000000
0.001067,248.0000000000
0.001068,248.0000000000
0.001070,248.0000000000
0.001071,248.0000000000
0.001072,248.0000000000
0.001073,248.0000000000
0.001074,248.0000000000
0.001075,248.0000000000
0.001077,248.0000000000
0.001078,248.0000000000
0.001079,248.0000000000
0.001080,248.0000000000
0.001081,248.0000000000
0.001082,248.0000000000
0.001084,248.0000000000
0.001085,248.0000000000
0.001086,248.0000000000
0.001087,248.0000000000
0.001088,248.0000000000
0.001089,248.0000000000
0.001090,248.0000000000
0.001092,248.0000000000
0.001093,248.0000000000
0.001094,248.0000000000
0.001095,248.0000000000
0.001096,248.0000000000
0.001097,248.0000000000
0.001099,248.0000000000
0.001100,248.0000000000
0.001101,248.0000000000
0.001102,248.0000000000
0.001103,248.0000000000
0.001104,248.0000000000
0.001105,248.0000000000
0.001106,248.0000000000
0.001108,248.0000000000
0.001109,248.0000000000
0.001110,248.0000000000
0.001111,248.0000000000
0.001112,248.0000000000
0.001113,248.0000000000
0.001114,248.0000000000
0.001116,248.0000000000
0.001117,248.0000000000
0.001118,248.0000000000
0.001119,248.0000000000
0.001120,248.0000000000
0.001122,248.0000000000
0.001123,248.0000000000
0.001124,248.0000000000
0.001125,248.0000000000
0.001127,248.0000000000
0.001128,248.0000000000
0.001129,248.0000000000
0.001130,248.0000000000
0.001132,248.0000000000
0.001133,248.0000000000
0.001134,248.0000000000
0.001135,248.0000000000
0.001137,248.0000000000
0.001138,248.0000000000
0.001139,248.0000000000
0.001142,248.0000000000
0.001144,248.0000000000
0.001145,248.0000000000
0.001146,248.0000000000
0.001147,248.0000000000
0.001149,248.0000000000
0.001150,248.0000000000
0.001151,248.0000000000
0.001152,248.0000000000
0.001154,248.0000000000
0.001155,248.0000000000
0.001156,248.0000000000
0.001157,248.0000000000
0.001159,248.0000000000
0.001160,248.0000000000
0.001161,248.0000000000
0.001162,248.0000000000
0.001163,248.0000000000
0.001165,248.0000000000
0.001166,248.0000000000
0.001167,248.0000000000
0.001168,248.0000000000
0.001169,248.0000000000
0.001171,248.0000000000
0.001172,248.0000000000
0.001173,248.0000000000
0.001174,248.0000000000
0.001175,248.0000000000
0.001176,248.0000000000
0.001177,248.0000000000
0.001179,248.0000000000
0.001180,248.0000000000
0.001181,248.0000000000
0.001182,248.0000000000
0.001183,248.0000000000
0.001184,248.0000000000
0.001186,248.0000000000
0.001187,248.0000000000
0.001188,248.0000000000
0.001189,248.0000000000
0.001190,248.0000000000
0.001191,248.0000000000
0.001193,248.0000000000
0.001194,248.0000000000
0.001195,248.0000000000
0.001196,248.0000000000
0.001197,248.0000000000
0.001198,248.0000000000
0.001199,248.0000000000
0.001200,248.0000000000
0.001201,248.0000000000
0.001203,248.0000000000
0.001204,248.0000000000
0.001205,248.0000000000
0.001206,248.0000000000
0.001207,248.0000000000
0.001209,248.0000000000
0.001210,248.0000000000
0.001211,248.0000000000
0.001212,248.0000000000
0.001213,248.0000000000
0.001215,248.0000000000
0.001216,248.0000000000
0.001217,248.0000000000
0.001218,248.0000000000
0.001220,248.0000000000
0.001221,248.0000000000
0.001222,248.0000000000
0.001223,248.0000000000
0.001225,248.0000000000
0.001226,248.0000000000
0.001227,248.0000000000
0.001228,248.0000000000
0.001229,248.0000000000
0.001230,248.0000000000
0.001232,248.0000000000
0.001233,248.0000000000
0.001234,248.0000000000
0.001235,248.0000000000
0.001236,248.0000000000
0.001237,248.0000000000
0.001238,248.0000000000
0.001240,248.0000000000
0.001241,248.0000000000
0.001242,248.0000000000
0.001243,248.0000000000
0.001244,248.0000000000
0.001245,248.0000000000
